time,T_core0,T_core1,T_core2,IPC_core0,IPC_core1,IPC_core2,F_core0,F_core1,F_core2,P_core0,P_core1,P_core2,Energy_Per_Instruction_core0,Energy_Per_Instruction_core1,Energy_Per_Instruction_core2,Cdyn_core0,Cdyn_core1,Cdyn_core2
70089071066500,71.53701311882388,68.19829534579898,92.21133802087702,0.00014002315404675354,0.0,2.138902570339625,4.0,1.0,1.3,0.11380723456665097,0.02470765245664202,1.24312246446316,2.823889522481496e-07,2.470765245658446e-07,4.529332525422303e-10,8.675150824005445e-14,0.0,1.1546760306740334e-09
70091071066499,71.5236443464253,68.1846936527237,92.20648503420917,0.0,0.0,2.1303728792475094,4.0,1.0,1.3,0.11328804695556187,0.024696097902586766,1.270494653701855,2.832201173882443e-07,2.469609790270471e-07,4.657553842918966e-10,0.0,0.0,1.181886987386881e-09
70093071066500,71.51015146598837,68.17109852791849,92.20198695797514,0.0,0.0,2.125490930733601,4.0,1.0,1.3,0.11326838570050288,0.024684559759469992,1.2743992237456292,2.8317096425059694e-07,2.4684559759412477e-07,4.680297226897665e-10,0.0,0.0,1.185785394895112e-09
70095071066500,71.49665823311723,68.15750996842785,92.19842756182655,0.00014002315404675354,0.0,2.1019347118041294,4.0,1.0,1.3,0.11374843136631092,0.02467303799894598,1.3447767543759126,2.8224240224342673e-07,2.467303799888848e-07,4.986374063388951e-10,8.675150824005445e-14,0.0,1.2557088983874983e-09
70097071066499,71.48330831338052,68.14392797129716,92.19379719186564,0.0,0.0,2.1514077698709038,4.0,1.0,1.3,0.11322932538288509,0.02466153259272576,1.2243178116703612,2.830733134565527e-07,2.4661532592843493e-07,4.4365811460235905e-10,0.0,0.0,1.1360744913252717e-09
70099071066500,71.46983442259838,68.13035253357289,92.18839346689802,0.0,0.0,2.148651830247246,4.0,1.0,1.3,0.11320974635390688,0.02465004351257687,1.2181993157234254,2.8302436588410716e-07,2.4650043512519426e-07,4.4195989448439376e-10,0.0,0.0,1.1300207214947235e-09
70101071066500,71.45636031619217,68.11678365230225,92.18291363052225,0.00014002315404675354,0.0,2.1514605258284476,4.0,1.0,1.3,0.1136898743413854,0.024638570730323283,1.2108391844254618,2.820964657597133e-07,2.4638570730265876e-07,4.387747844856695e-10,8.675150824005445e-14,0.0,1.1227339312911893e-09
70103071066499,71.44302922573743,68.10322132453362,92.17749689370524,0.0,0.0,2.153590902559123,4.0,1.0,1.3,0.11317084957256793,0.024627114217845195,1.2161994817767898,2.8292712393076035e-07,2.4627114217962774e-07,4.402031474661118e-10,0.0,0.0,1.1280823730900218e-09
70105071066500,71.42957430105466,68.0896655473159,92.17188331379914,0.0,0.0,2.1523283060506295,4.0,1.0,1.3,0.11315135235378988,0.02461567394707902,1.2046708834899795,2.828783808838161e-07,2.461567394702163e-07,4.363653234468287e-10,0.0,0.0,1.1166555123466748e-09
70107071066500,71.41611929738036,68.07611631769915,92.16625065204126,0.00014002315404675354,0.0,2.1566438231504534,4.0,1.0,1.3,0.1136315622463409,0.02460424989001695,1.2069556619132586,2.8195113969287746e-07,2.460424988995961e-07,4.3641268043748987e-10,8.675150824005445e-14,0.0,1.118949898263303e-09
